ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
739	"ENSMUSG00000017264"	"Exosc10"	chr4	+	148581757	148581834	148581761	148581834	148581101	148581163
740	"ENSMUSG00000100717"	"1700120G07Rik"	chr7	-	135193709	135193949	135193709	135193903	135195970	135196002
741	"ENSMUSG00000095416"	"Ighv1-12"	chr12	-	114615849	114616154	114615849	114615983	114616237	114616318
742	"ENSMUSG00000029177"	"Cenpa"	chr5	+	30669691	30669828	30669737	30669828	30668998	30669052
743	"ENSMUSG00000029177"	"Cenpa"	chr5	+	30673266	30673443	30673292	30673443	30672981	30673059
744	"ENSMUSG00000038776"	"Ephx1"	chr1	-	180993878	180994087	180993878	180994045	180994627	180994757
745	"ENSMUSG00000034706"	"Dnaic2"	chr11	+	114752856	114753003	114752892	114753003	114751785	114751921
746	"ENSMUSG00000032373"	"Car12"	chr9	+	66751942	66752006	66751946	66752006	66750929	66751025
747	"ENSMUSG00000006262"	"Mob1b"	chr5	+	88745041	88745150	88745056	88745150	88743303	88743470
748	"ENSMUSG00000056004"	"9330182L06Rik"	chr5	+	9440692	9440983	9440719	9440983	9437705	9437843
749	"ENSMUSG00000056004"	"9330182L06Rik"	chr5	+	9440692	9440983	9440724	9440983	9437705	9437843
750	"ENSMUSG00000056004"	"9330182L06Rik"	chr5	+	9440719	9440983	9440724	9440983	9437705	9437843
751	"ENSMUSG00000034677"	"Gpr142"	chr11	+	114805885	114806745	114805903	114806745	114804304	114804466
752	"ENSMUSG00000018819"	"Lsp1"	chr7	+	142488847	142488940	142488865	142488940	142488418	142488515
753	"ENSMUSG00000018819"	"Lsp1"	chr7	+	142494235	142494867	142494240	142494867	142490558	142490665
754	"ENSMUSG00000063052"	"Lrrc40"	chr3	+	158041585	158041659	158041619	158041659	158040440	158040622
755	"ENSMUSG00000002981"	"Clptm1"	chr7	-	19635660	19636177	19635660	19635851	19637077	19637171
756	"ENSMUSG00000002981"	"Clptm1"	chr7	-	19662144	19662342	19662144	19662233	19664933	19664955
757	"ENSMUSG00000054626"	"Xlr"	chrX	-	53796142	53796268	53796142	53796220	53797631	53797696
758	"ENSMUSG00000028778"	"Hcrtr1"	chr4	-	130137429	130137762	130137429	130137667	130138078	130138196
759	"ENSMUSG00000033565"	"Rbfox2"	chr15	-	77097939	77098084	77097939	77098072	77099239	77099332
760	"ENSMUSG00000033565"	"Rbfox2"	chr15	-	77116920	77117067	77116920	77117064	77132716	77132941
761	"ENSMUSG00000036155"	"Mgat5"	chr1	+	127306633	127307016	127306636	127307016	127249789	127249839
762	"ENSMUSG00000028522"	"Mier1"	chr4	+	103118238	103118315	103118241	103118315	103115559	103115660
763	"ENSMUSG00000028522"	"Mier1"	chr4	+	103118238	103118315	103118280	103118315	103115559	103115660
764	"ENSMUSG00000028522"	"Mier1"	chr4	+	103118241	103118315	103118280	103118315	103115559	103115660
765	"ENSMUSG00000017631"	"Abr"	chr11	-	76459180	76459346	76459180	76459272	76461292	76461414
766	"ENSMUSG00000032815"	"Fanca"	chr8	-	123269289	123269462	123269289	123269362	123269859	123269965
767	"ENSMUSG00000060985"	"Tdrd5"	chr1	-	156300596	156300790	156300596	156300736	156301744	156301906
768	"ENSMUSG00000037922"	"Bank1"	chr3	-	136100280	136100589	136100280	136100382	136103849	136103928
769	"ENSMUSG00000027751"	"Supt20"	chr3	+	54701486	54701616	54701489	54701616	54698592	54698659
770	"ENSMUSG00000027751"	"Supt20"	chr3	+	54715153	54715256	54715156	54715256	54714687	54714796
771	"ENSMUSG00000027751"	"Supt20"	chr3	+	54716637	54717645	54717575	54717645	54715533	54715689
772	"ENSMUSG00000027751"	"Supt20"	chr3	+	54722520	54722640	54722556	54722640	54720405	54720461
773	"ENSMUSG00000037270"	"4932438A13Rik"	chr3	+	36936988	36937168	36936991	36937168	36930997	36931135
774	"ENSMUSG00000037270"	"4932438A13Rik"	chr3	+	36949882	36950059	36949885	36950059	36949141	36949212
775	"ENSMUSG00000037270"	"4932438A13Rik"	chr3	+	37026089	37026343	37026230	37026343	37022383	37022474
776	"ENSMUSG00000037270"	"4932438A13Rik"	chr3	+	37026089	37026343	37026230	37026343	37022969	37023032
777	"ENSMUSG00000117485"	"Gm19696"	chr17	-	84136334	84136675	84136334	84136591	84136878	84136951
778	"ENSMUSG00000003068"	"Stk11"	chr10	+	80126032	80126369	80126232	80126369	80125478	80125568
779	"ENSMUSG00000003068"	"Stk11"	chr10	+	80127903	80128100	80127957	80128100	80127044	80127102
780	"ENSMUSG00000007570"	"Fance"	chr17	+	28318032	28318156	28318061	28318156	28317467	28317611
781	"ENSMUSG00000007570"	"Fance"	chr17	+	28326093	28326567	28326151	28326567	28320789	28320856
782	"ENSMUSG00000026988"	"Wdsub1"	chr2	-	59861560	59861740	59861560	59861737	59862619	59862726
783	"ENSMUSG00000026988"	"Wdsub1"	chr2	-	59878129	59878587	59878129	59878550	59882477	59882586
784	"ENSMUSG00000046311"	"Zfp62"	chr11	+	49214525	49214654	49214554	49214654	49213589	49213642
785	"ENSMUSG00000040563"	"Plppr2"	chr9	+	21940684	21940873	21940759	21940873	21939298	21939378
786	"ENSMUSG00000036109"	"Mbnl3"	chrX	-	51128920	51129071	51128920	51128966	51130104	51130341
787	"ENSMUSG00000040003"	"Magi2"	chr5	+	20661241	20661352	20661263	20661352	20651054	20651193
788	"ENSMUSG00000079177"	"Fam228a"	chr12	-	4732740	4732929	4732740	4732890	4734967	4735036
789	"ENSMUSG00000001472"	"Tcf25"	chr8	+	123403146	123403806	123403149	123403806	123400624	123400697
790	"ENSMUSG00000028582"	"Cc2d1b"	chr4	+	108625333	108625533	108625407	108625533	108624845	108625004
791	"ENSMUSG00000028582"	"Cc2d1b"	chr4	+	108625980	108626153	108626037	108626153	108625654	108625814
792	"ENSMUSG00000032921"	"Odf4"	chr11	-	68922818	68923014	68922818	68922945	68926517	68926816
793	"ENSMUSG00000026201"	"Stk16"	chr1	+	75213112	75213228	75213132	75213228	75212885	75213006
794	"ENSMUSG00000026082"	"Rev1"	chr1	-	38074314	38075023	38074314	38074443	38079289	38079398
795	"ENSMUSG00000026082"	"Rev1"	chr1	-	38079289	38079398	38079289	38079395	38083703	38083820
796	"ENSMUSG00000059890"	"Ube4a"	chr9	-	44952941	44953172	44952941	44953115	44959978	44960139
797	"ENSMUSG00000059890"	"Ube4a"	chr9	-	44959978	44960139	44959978	44960127	44963336	44963432
798	"ENSMUSG00000031770"	"Herpud1"	chr8	+	94389520	94389595	94389523	94389595	94389355	94389433
799	"ENSMUSG00000096515"	"Igkv14-100"	chr6	+	68519179	68519477	68519182	68519477	68519011	68519066
800	"ENSMUSG00000033595"	"Lgi3"	chr14	+	70533330	70533416	70533344	70533416	70533176	70533248
801	"ENSMUSG00000115958"	"Gm28040"	chr1	+	133327134	133327340	133327209	133327340	133309826	133309911
802	"ENSMUSG00000090841"	"Myl6"	chr10	-	128492601	128492745	128492601	128492709	128492938	128493045
803	"ENSMUSG00000090841"	"Myl6"	chr10	-	128492228	128492535	128492228	128492402	128493538	128493566
804	"ENSMUSG00000090841"	"Myl6"	chr10	-	128492601	128492745	128492601	128492709	128493538	128493566
805	"ENSMUSG00000028049"	"Scamp3"	chr3	+	89179091	89179223	89179094	89179223	89177989	89178067
806	"ENSMUSG00000028049"	"Scamp3"	chr3	+	89180038	89180380	89180251	89180380	89179316	89179437
807	"ENSMUSG00000090254"	"Gm1965"	chr6	+	89144547	89144676	89144561	89144676	89141004	89141085
808	"ENSMUSG00000090254"	"Gm1965"	chr6	+	89144547	89144676	89144612	89144676	89141004	89141085
809	"ENSMUSG00000090254"	"Gm1965"	chr6	+	89144561	89144676	89144612	89144676	89141004	89141085
810	"ENSMUSG00000034343"	"Ube2f"	chr1	+	91254214	91254393	91254259	91254393	91253759	91253827
811	"ENSMUSG00000034343"	"Ube2f"	chr1	+	91254214	91254393	91254262	91254393	91253759	91253827
812	"ENSMUSG00000034343"	"Ube2f"	chr1	+	91254259	91254393	91254262	91254393	91253759	91253827
813	"ENSMUSG00000022667"	"Cd200r1"	chr16	+	44791468	44792630	44792488	44792630	44789972	44790224
814	"ENSMUSG00000022119"	"Rbm26"	chr14	-	105140315	105140447	105140315	105140438	105141195	105141360
815	"ENSMUSG00000022119"	"Rbm26"	chr14	-	105150252	105150408	105150252	105150393	105150748	105150889
816	"ENSMUSG00000020156"	"Pwwp3a"	chr10	+	80238314	80238920	80238859	80238920	80236110	80236181
817	"ENSMUSG00000038766"	"Gabpb2"	chr3	-	95203730	95204808	95203730	95203925	95206462	95206602
818	"ENSMUSG00000052533"	"Nup188"	chr2	+	30301951	30302045	30302000	30302045	30301008	30301089
819	"ENSMUSG00000052533"	"Nup188"	chr2	+	30301951	30302045	30302004	30302045	30301008	30301089
820	"ENSMUSG00000052533"	"Nup188"	chr2	+	30302000	30302045	30302004	30302045	30301008	30301089
821	"ENSMUSG00000027651"	"Rprd1b"	chr2	+	158047915	158048028	158047918	158048028	158043405	158043539
822	"ENSMUSG00000032727"	"Mier3"	chr13	+	111711685	111711780	111711688	111711780	111709725	111709807
823	"ENSMUSG00000003545"	"Fosb"	chr7	-	19307119	19307440	19307119	19307323	19309305	19310046
824	"ENSMUSG00000021178"	"Psmc1"	chr12	+	100115419	100115605	100115468	100115605	100114837	100114962
825	"ENSMUSG00000026339"	"Ccdc93"	chr1	+	121462232	121462283	121462235	121462283	121461886	121461979
826	"ENSMUSG00000042133"	"Ppig"	chr2	+	69732817	69732925	69732881	69732925	69732379	69732454
827	"ENSMUSG00000042133"	"Ppig"	chr2	+	69748960	69749097	69748980	69749097	69746027	69746115
828	"ENSMUSG00000031715"	"Smarca5"	chr8	-	80726210	80726717	80726210	80726366	80727615	80727795
829	"ENSMUSG00000032297"	"Celf6"	chr9	+	59604129	59604210	59604132	59604210	59603447	59603597
830	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101416908	101416981	101416908	101416975	101417286	101417330
831	"ENSMUSG00000074165"	"Zfp788"	chr7	+	41647482	41647617	41647490	41647617	41643332	41643432
832	"ENSMUSG00000005682"	"Pan2"	chr10	+	128308064	128308234	128308118	128308234	128304094	128304493
833	"ENSMUSG00000005682"	"Pan2"	chr10	+	128315486	128315657	128315513	128315657	128315097	128315236
834	"ENSMUSG00000094678"	"Olfr857"	chr9	+	19712815	19714930	19712850	19714930	19709432	19709623
835	"ENSMUSG00000015697"	"Setdb1"	chr3	-	95339906	95340065	95339906	95340062	95340161	95340312
836	"ENSMUSG00000029070"	"Mxra8"	chr4	+	155840905	155841208	155840914	155841208	155840777	155840798
837	"ENSMUSG00000115644"	"Vmn1r17"	chr6	-	57359240	57361430	57359240	57361284	57363687	57363727
838	"ENSMUSG00000034731"	"Dgkh"	chr14	-	78575886	78576017	78575886	78576012	78577448	78577557
839	"ENSMUSG00000100510"	"Hand2os1"	chr8	-	57320183	57320440	57320183	57320288	57320688	57320757
840	"ENSMUSG00000037364"	"Srrt"	chr5	-	137295986	137296113	137295986	137296092	137296217	137296307
841	"ENSMUSG00000037364"	"Srrt"	chr5	-	137296217	137296319	137296217	137296307	137296466	137296623
842	"ENSMUSG00000037364"	"Srrt"	chr5	-	137298725	137298883	137298725	137298880	137299557	137299672
843	"ENSMUSG00000026939"	"Tmem141"	chr2	-	25621065	25621173	25621065	25621167	25621374	25621458
844	"ENSMUSG00000022678"	"Nde1"	chr16	+	14191589	14192918	14191717	14192918	14190086	14190232
845	"ENSMUSG00000028256"	"Odf2l"	chr3	+	145145875	145148616	145148530	145148616	145144311	145144416
846	"ENSMUSG00000002100"	"Mybpc3"	chr2	+	91119162	91119429	91119182	91119429	91118143	91118217
847	"ENSMUSG00000002100"	"Mybpc3"	chr2	+	91122635	91122647	91122638	91122647	91122339	91122342
848	"ENSMUSG00000025173"	"Wdr45b"	chr11	-	121335383	121335574	121335383	121335500	121336975	121337070
849	"ENSMUSG00000094732"	"1500015L24Rik"	chr19	+	20433884	20434130	20433895	20434130	20422629	20422721
850	"ENSMUSG00000007837"	"Prrg2"	chr7	-	45060204	45060386	45060204	45060359	45060740	45060892
851	"ENSMUSG00000007837"	"Prrg2"	chr7	-	45060204	45060415	45060204	45060359	45060740	45060892
852	"ENSMUSG00000007837"	"Prrg2"	chr7	-	45060204	45060415	45060204	45060386	45060740	45060892
853	"ENSMUSG00000024806"	"Mlana"	chr19	+	29704468	29704716	29704619	29704716	29700076	29700170
854	"ENSMUSG00000100022"	"Gm29590"	chr13	+	37511148	37512074	37511179	37512074	37509717	37509957
855	"ENSMUSG00000100022"	"Gm29590"	chr13	+	37511148	37512074	37511600	37512074	37509717	37509957
856	"ENSMUSG00000100022"	"Gm29590"	chr13	+	37511179	37512074	37511600	37512074	37509717	37509957
857	"ENSMUSG00000037996"	"Slc24a2"	chr4	-	87011628	87011772	87011628	87011760	87028245	87028364
858	"ENSMUSG00000042268"	"Slc26a9"	chr1	+	131761705	131761812	131761746	131761812	131759397	131759493
859	"ENSMUSG00000019900"	"Rfx6"	chr10	+	51715877	51716049	51715889	51716049	51713466	51713516
860	"ENSMUSG00000062743"	"Zfp677"	chr17	+	21392460	21392551	21392465	21392551	21383747	21384020
861	"ENSMUSG00000026110"	"Mgat4a"	chr1	-	37466536	37466583	37466536	37466579	37490259	37490393
862	"ENSMUSG00000003235"	"Eif2b5"	chr16	+	20508937	20509323	20508960	20509323	20508708	20508819
863	"ENSMUSG00000001901"	"Kcnh6"	chr11	+	106025687	106025878	106025793	106025878	106023724	106023918
864	"ENSMUSG00000036948"	"Map11"	chr5	-	138260834	138261716	138260834	138260989	138261801	138261884
865	"ENSMUSG00000041235"	"Chd7"	chr4	+	8863908	8864049	8863941	8864049	8862489	8862711
866	"ENSMUSG00000023495"	"Pcbp4"	chr9	+	106460004	106460149	106460038	106460149	106453889	106454007
867	"ENSMUSG00000023495"	"Pcbp4"	chr9	+	106462342	106462414	106462361	106462414	106462188	106462252
868	"ENSMUSG00000023495"	"Pcbp4"	chr9	+	106462484	106462677	106462507	106462677	106462361	106462414
869	"ENSMUSG00000023495"	"Pcbp4"	chr9	+	106462484	106462677	106462534	106462677	106462361	106462414
870	"ENSMUSG00000023495"	"Pcbp4"	chr9	+	106462507	106462677	106462534	106462677	106462361	106462414
871	"ENSMUSG00000056328"	"Myh1"	chr11	+	67201841	67202085	67201845	67202085	67200409	67200442
872	"ENSMUSG00000026155"	"Smap1"	chr1	-	23866216	23866297	23866216	23866293	23876373	23876449
873	"ENSMUSG00000058239"	"Usf2"	chr7	-	30946750	30946879	30946750	30946855	30946964	30947059
874	"ENSMUSG00000023191"	"P3h3"	chr6	-	124850917	124850985	124850917	124850983	124851078	124851131
875	"ENSMUSG00000023191"	"P3h3"	chr6	-	124854310	124854452	124854310	124854447	124854847	124854979
876	"ENSMUSG00000062327"	"T"	chr17	+	8438612	8438789	8438615	8438789	8437149	8437211
877	"ENSMUSG00000025127"	"Gcgr"	chr11	+	120536018	120536167	120536059	120536167	120534915	120535018
878	"ENSMUSG00000039579"	"Grin3a"	chr4	-	49661610	49665625	49661610	49665565	49670023	49670100
879	"ENSMUSG00000030982"	"Vps35l"	chr7	+	118743594	118743694	118743609	118743694	118740746	118740775
880	"ENSMUSG00000031097"	"Tnni2"	chr7	+	142443302	142443431	142443317	142443431	142443170	142443212
881	"ENSMUSG00000031097"	"Tnni2"	chr7	+	142443531	142443660	142443570	142443660	142443302	142443431
882	"ENSMUSG00000053091"	"Lins1"	chr7	+	66710158	66710746	66710229	66710746	66709293	66709435
883	"ENSMUSG00000053091"	"Lins1"	chr7	+	66711872	66712044	66711928	66712044	66710158	66710746
884	"ENSMUSG00000003813"	"Rad23a"	chr8	-	84837459	84837593	84837459	84837590	84837688	84837767
885	"ENSMUSG00000020752"	"Recql5"	chr11	-	115927967	115928486	115927967	115928144	115930676	115930798
886	"ENSMUSG00000024866"	"Acy3"	chr19	+	3986822	3986951	3986827	3986951	3986569	3986611
887	"ENSMUSG00000028641"	"P3h1"	chr4	+	119241661	119241804	119241682	119241804	119241481	119241534
888	"ENSMUSG00000093460"	"Six3os1"	chr17	-	85614647	85614727	85614647	85614692	85615593	85615743
889	"ENSMUSG00000031478"	"Nek3"	chr8	-	22132049	22132199	22132049	22132193	22132992	22133095
890	"ENSMUSG00000041674"	"BC006965"	chr11	-	112672083	112672404	112672083	112672234	112672917	112672972
891	"ENSMUSG00000041674"	"BC006965"	chr11	-	112691291	112691714	112691291	112691435	112711081	112711188
892	"ENSMUSG00000037112"	"Sik2"	chr9	-	50892800	50894081	50892800	50893389	50895343	50895961
893	"ENSMUSG00000038517"	"Tbkbp1"	chr11	-	97146454	97146633	97146454	97146630	97147372	97147553
894	"ENSMUSG00000019368"	"Sec14l4"	chr11	+	4039936	4040125	4040045	4040125	4039770	4039830
895	"ENSMUSG00000019368"	"Sec14l4"	chr11	+	4043652	4043972	4043832	4043972	4043286	4043370
896	"ENSMUSG00000024853"	"Sf3b2"	chr19	-	5288303	5288413	5288303	5288410	5291304	5291422
897	"ENSMUSG00000022419"	"Deptor"	chr15	+	55151787	55151911	55151839	55151911	55149340	55149519
898	"ENSMUSG00000039021"	"Ttc16"	chr2	-	32773981	32774152	32773981	32774072	32774390	32774557
899	"ENSMUSG00000030584"	"Dpf1"	chr7	+	29314138	29314402	29314282	29314402	29313081	29313213
900	"ENSMUSG00000030584"	"Dpf1"	chr7	+	29316213	29316325	29316243	29316325	29315623	29315736
901	"ENSMUSG00000027550"	"Lrrcc1"	chr3	+	14551171	14551527	14551387	14551527	14550250	14550455
902	"ENSMUSG00000032309"	"Fbxo22"	chr9	+	55218314	55218479	55218433	55218479	55214902	55214998
903	"ENSMUSG00000020914"	"Top2a"	chr11	-	98995243	98995378	98995243	98995375	98995680	98995724
904	"ENSMUSG00000091491"	"Vmn2r97"	chr17	+	18947142	18958087	18956269	18958087	18940137	18940261
905	"ENSMUSG00000109324"	"Prmt1"	chr7	-	44978674	44978790	44978674	44978748	44978882	44978970
906	"ENSMUSG00000026584"	"Scyl3"	chr1	+	163934631	163934817	163934692	163934817	163933478	163933693
907	"ENSMUSG00000026584"	"Scyl3"	chr1	+	163941020	163941218	163941106	163941218	163939880	163939983
908	"ENSMUSG00000026584"	"Scyl3"	chr1	+	163946163	163946348	163946202	163946348	163944795	163944935
909	"ENSMUSG00000025035"	"Arl3"	chr19	-	46541442	46541529	46541442	46541510	46542351	46542537
910	"ENSMUSG00000001376"	"Vps50"	chr6	+	3601367	3603315	3602659	3603315	3600127	3600317
911	"ENSMUSG00000118346"	"Tmem179b"	chr19	-	8773504	8773692	8773504	8773622	8774334	8774467
912	"ENSMUSG00000018474"	"Chd3"	chr11	-	69355630	69355820	69355630	69355772	69356206	69356380
913	"ENSMUSG00000018474"	"Chd3"	chr11	-	69361048	69361242	69361048	69361224	69361384	69361535
914	"ENSMUSG00000018474"	"Chd3"	chr11	-	69361384	69361535	69361384	69361523	69361670	69361721
915	"ENSMUSG00000020598"	"Nrcam"	chr12	+	44570209	44570407	44570248	44570407	44568543	44568645
916	"ENSMUSG00000021556"	"Golm1"	chr13	-	59649562	59649665	59649562	59649660	59650695	59650750
917	"ENSMUSG00000033540"	"Idua"	chr5	+	108680294	108680497	108680394	108680497	108680110	108680206
918	"ENSMUSG00000028484"	"Psip1"	chr4	-	83461870	83462473	83461870	83462174	83463594	83463713
919	"ENSMUSG00000028484"	"Psip1"	chr4	-	83461870	83462553	83461870	83462174	83463594	83463713
920	"ENSMUSG00000028484"	"Psip1"	chr4	-	83461870	83462553	83461870	83462473	83463594	83463713
921	"ENSMUSG00000033885"	"Pxk"	chr14	+	8155282	8155345	8155285	8155345	8152080	8152150
922	"ENSMUSG00000038060"	"Dlec1"	chr9	+	119137203	119137383	119137206	119137383	119136640	119136765
923	"ENSMUSG00000002496"	"Tsc2"	chr17	-	24596854	24597063	24596854	24596953	24597204	24597283
924	"ENSMUSG00000002496"	"Tsc2"	chr17	-	24604827	24604992	24604827	24604989	24607436	24607531
925	"ENSMUSG00000068876"	"Cgn"	chr3	-	94777993	94778089	94777993	94778065	94778200	94778270
926	"ENSMUSG00000044252"	"Osbpl1a"	chr18	-	12929007	12929093	12929007	12929089	12933579	12933702
927	"ENSMUSG00000027855"	"Sycp1"	chr3	-	102935543	102935665	102935543	102935659	102935985	102936100
928	"ENSMUSG00000041301"	"Cftr"	chr6	+	18255933	18256041	18255952	18256041	18255379	18255474
929	"ENSMUSG00000022371"	"Col14a1"	chr15	+	55418684	55418817	55418687	55418817	55411569	55411721
930	"ENSMUSG00000025648"	"Pfkfb4"	chr9	+	108998841	108998975	108998858	108998975	108992015	108992112
931	"ENSMUSG00000025648"	"Pfkfb4"	chr9	+	109008311	109008470	109008348	109008470	109007691	109007748
932	"ENSMUSG00000025648"	"Pfkfb4"	chr9	+	109010341	109010656	109010448	109010656	109008348	109008470
933	"ENSMUSG00000054498"	"Olfr308"	chr7	-	86318217	86322868	86318217	86321628	86325290	86325630
934	"ENSMUSG00000029149"	"Krtcap3"	chr5	+	31253093	31253197	31253097	31253197	31252894	31253002
935	"ENSMUSG00000021848"	"Otx2"	chr14	-	48661298	48661474	48661298	48661450	48662443	48662659
936	"ENSMUSG00000026601"	"Axdnd1"	chr1	-	156392648	156392879	156392648	156392789	156395431	156395553
937	"ENSMUSG00000061079"	"Zfp143"	chr7	+	110072118	110072202	110072121	110072202	110071371	110071455
938	"ENSMUSG00000075209"	"Olfr1016"	chr2	-	85797617	85800326	85797617	85800286	85802515	85802544
939	"ENSMUSG00000046130"	"Vmn1r184"	chr7	+	26263056	26270619	26265167	26270619	26262366	26262593
940	"ENSMUSG00000046130"	"Vmn1r184"	chr7	+	26263056	26270619	26266721	26270619	26262366	26262593
941	"ENSMUSG00000046130"	"Vmn1r184"	chr7	+	26265167	26270619	26266721	26270619	26262366	26262593
942	"ENSMUSG00000002718"	"Cse1l"	chr2	+	166929784	166929987	166929894	166929987	166928957	166929023
943	"ENSMUSG00000060477"	"Irak2"	chr6	+	113690782	113691071	113690812	113691071	113686757	113686958
944	"ENSMUSG00000032586"	"Traip"	chr9	+	107956345	107956429	107956393	107956429	107955864	107955922
945	"ENSMUSG00000036110"	"Slc17a2"	chr13	+	23815185	23815273	23815223	23815273	23814865	23815099
946	"ENSMUSG00000028188"	"Spata1"	chr3	-	146489810	146489917	146489810	146489883	146493671	146493843
947	"ENSMUSG00000022613"	"Miox"	chr15	+	89335810	89335907	89335839	89335907	89335487	89335650
948	"ENSMUSG00000022498"	"Txndc11"	chr16	-	11128486	11128705	11128486	11128703	11134267	11134650
949	"ENSMUSG00000024587"	"Nars"	chr18	-	64511784	64511898	64511784	64511877	64511983	64512049
950	"ENSMUSG00000004677"	"Myo9b"	chr8	+	71334312	71334394	71334315	71334394	71333626	71333831
951	"ENSMUSG00000004677"	"Myo9b"	chr8	+	71354513	71354555	71354516	71354555	71353961	71354135
952	"ENSMUSG00000004677"	"Myo9b"	chr8	+	71359557	71360712	71359663	71360712	71359324	71359452
953	"ENSMUSG00000037509"	"Arhgef4"	chr1	+	34807023	34807291	34807058	34807291	34806314	34806494
954	"ENSMUSG00000000753"	"Serpinf1"	chr11	-	75413906	75414049	75413906	75414044	75414920	75415124
955	"ENSMUSG00000029915"	"Clec5a"	chr6	-	40579372	40579479	40579372	40579476	40581799	40581936
956	"ENSMUSG00000022783"	"Spag6l"	chr16	-	16829019	16829143	16829019	16829115	16829194	16829313
957	"ENSMUSG00000036564"	"Ndrg4"	chr8	+	95706161	95706293	95706187	95706293	95700112	95700157
958	"ENSMUSG00000036564"	"Ndrg4"	chr8	+	95710645	95710711	95710663	95710711	95709902	95709954
959	"ENSMUSG00000078683"	"Mup1"	chr4	-	60499055	60499142	60499055	60499101	60499265	60499367
960	"ENSMUSG00000076864"	"Trdv1"	chr14	+	53881932	53882217	53881935	53882217	53881611	53881663
961	"ENSMUSG00000039914"	"Coq10a"	chr10	-	128365022	128365245	128365022	128365215	128368006	128368153
962	"ENSMUSG00000026004"	"Kansl1l"	chr1	-	66773421	66773619	66773421	66773514	66777966	66778108
963	"ENSMUSG00000046691"	"Chtf8"	chr8	-	106886919	106887051	106886919	106887037	106887300	106887356
964	"ENSMUSG00000031552"	"Adam18"	chr8	-	24614791	24614906	24614791	24614862	24625786	24625867
965	"ENSMUSG00000021640"	"Naip1"	chr13	-	100425381	100427493	100425381	100426762	100427956	100428014
966	"ENSMUSG00000026384"	"Ptpn4"	chr1	-	119773048	119773146	119773048	119773127	119773228	119773271
967	"ENSMUSG00000022579"	"Gpihbp1"	chr15	+	75597729	75598213	75598090	75598213	75597512	75597629
968	"ENSMUSG00000035215"	"Lsm7"	chr10	-	80853757	80853829	80853757	80853825	80854617	80854708
969	"ENSMUSG00000052656"	"Rnf103"	chr6	+	71508685	71510881	71508868	71510881	71505733	71505849
970	"ENSMUSG00000022540"	"Rogdi"	chr16	-	5011611	5011758	5011611	5011692	5012240	5012295
971	"ENSMUSG00000024891"	"Slc29a2"	chr19	+	5026027	5026188	5026036	5026188	5024510	5024592
972	"ENSMUSG00000024891"	"Slc29a2"	chr19	+	5030287	5030490	5030291	5030490	5029408	5029494
973	"ENSMUSG00000014599"	"Csf1"	chr3	-	107748153	107749169	107748153	107748284	107750310	107750458
974	"ENSMUSG00000038412"	"Higd1a"	chr9	-	121848562	121850322	121848562	121849689	121852490	121852609
975	"ENSMUSG00000038412"	"Higd1a"	chr9	-	121852490	121852609	121852490	121852605	121856437	121856595
976	"ENSMUSG00000038412"	"Higd1a"	chr9	-	121852490	121852609	121852490	121852605	121856449	121856585
977	"ENSMUSG00000038412"	"Higd1a"	chr9	-	121852490	121852609	121852490	121852605	121856720	121856872
978	"ENSMUSG00000036246"	"Gmip"	chr8	+	69815433	69815543	69815443	69815543	69814394	69814591
979	"ENSMUSG00000089984"	"Fbxo24"	chr5	-	137618719	137618907	137618719	137618841	137619584	137619743
980	"ENSMUSG00000024677"	"Ms4a6b"	chr19	+	11526620	11526897	11526699	11526897	11523909	11523966
981	"ENSMUSG00000000560"	"Gabra2"	chr5	-	71014415	71014636	71014415	71014575	71034729	71034797
982	"ENSMUSG00000040669"	"Phc1"	chr6	-	122332521	122332677	122332521	122332653	122333290	122333440
983	"ENSMUSG00000074129"	"Rpl13a"	chr7	-	45126114	45126253	45126114	45126237	45126477	45126537
984	"ENSMUSG00000074129"	"Rpl13a"	chr7	-	45126708	45126827	45126708	45126794	45126990	45127092
985	"ENSMUSG00000074129"	"Rpl13a"	chr7	-	45126990	45127092	45126990	45127087	45127208	45127274
986	"ENSMUSG00000025558"	"Dock9"	chr14	-	121591811	121591948	121591811	121591879	121594335	121594383
987	"ENSMUSG00000025558"	"Dock9"	chr14	-	121597641	121597756	121597641	121597753	121599687	121599821
988	"ENSMUSG00000076865"	"Trdv2-1"	chr14	+	53946361	53946660	53946364	53946660	53946072	53946121
989	"ENSMUSG00000004071"	"Cdip1"	chr16	-	4768744	4769018	4768744	4768967	4769639	4769795
990	"ENSMUSG00000039474"	"Wfs1"	chr5	-	36971557	36971709	36971557	36971623	36973185	36973266
991	"ENSMUSG00000041912"	"Tdrkh"	chr3	+	94424500	94424690	94424512	94424690	94423694	94423801
992	"ENSMUSG00000041912"	"Tdrkh"	chr3	+	94425562	94425702	94425597	94425702	94424500	94424590
993	"ENSMUSG00000027597"	"Ahcy"	chr2	-	155067322	155067398	155067322	155067362	155068827	155069018
994	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73896813	73896997	73896813	73896992	73897080	73897154
995	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73897968	73898046	73897968	73898013	73898131	73898192
